Report Date,"""0-9""","""10-19""","""20-29""","""30-9""","""40-49""","""50-59""","""60-69""","""70-79""","""85+""",,,,,,,,,,,,,,,,
10/28/2022,"104,466","88,888","58,197","88,260","99,387","129,364","183,973","165,331","83,433",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
