Week Starting,Week Ending,"""0-4""","""5-24""","""25-49""","""50-64""","""65+""","""Total"""
10/16/2022,10/21/2022,345,347,132,55,34,913
10/22/2022,10/28/2022,763,738,225,98,112,1936
