Report Date,Hispanic,Not Hispanic,Data NA,Total,,,,,,,,,,,,,,,,,
10/28/2022,"69,248","892,175","39,942","1,001,365",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
