Week Starting,Week Ending,"""0-4""","""5-24""","""25-49""","""50-64""","""65+""","""Total"""
8/23/2022,8/28/2022,,,,,,
8/29/2022,9/3/2022,,,,,,
9/4/2022,9/9/2022,,,,,,
9/10/2022,9/15/2022,,,,,,
9/16/2022,9/21/2022,,,,,,
9/22/2022,9/27/2022,,,,,,
9/28/2022,10/3/2022,,,,,,
10/4/2022,10/9/2022,,,,,,
10/10/2022,10/15/2022,,,,,,
10/16/2022,10/21/2022,345,347,132,55,34,913
10/22/2022,10/28/2022,763,738,225,98,112,1936
